num,unique_num,channel,table_name,dt
5744316,4158536,2,gdl_jrs_msg_parse,2019-03-25
1760215114,770804108,0,gdl_jrs_msg_parse,2019-03-25
4835135,4444506,1,gdl_jrs_msg_parse,2019-03-27
828675,649606,3,gdl_jrs_msg_parse,2019-03-27
911022,791256,2,gdl_jrs_msg_parse,2019-03-27
371581710,267287351,0,gdl_jrs_msg_parse,2019-03-27
352857,328887,1,gdl_jrs_msg_parse,2019-03-28
94180,84844,3,gdl_jrs_msg_parse,2019-03-28
59350,53822,2,gdl_jrs_msg_parse,2019-03-28
23852298,19831693,0,gdl_jrs_msg_parse,2019-03-28
1123597,1079624,1,gdl_jrs_msg_parse,2019-03-31
218730,192779,3,gdl_jrs_msg_parse,2019-03-31
254395,239183,2,gdl_jrs_msg_parse,2019-03-31
117724453,96677330,0,gdl_jrs_msg_parse,2019-03-31
128923,125313,1,gdl_jrs_msg_parse,2019-04-01
35175,33739,3,gdl_jrs_msg_parse,2019-04-01
21937,20889,2,gdl_jrs_msg_parse,2019-04-01
13696239,12080993,0,gdl_jrs_msg_parse,2019-04-01
105406,103774,1,gdl_jrs_msg_parse,2019-04-02
24039,23478,3,gdl_jrs_msg_parse,2019-04-02
17334,16898,2,gdl_jrs_msg_parse,2019-04-02
11634910,10819314,0,gdl_jrs_msg_parse,2019-04-02
7639896,6930992,1,gdl_jrs_msg_parse,2019-04-03
1266303,989135,3,gdl_jrs_msg_parse,2019-04-03
1730227,1494489,2,gdl_jrs_msg_parse,2019-04-03
868665065,530487022,0,gdl_jrs_msg_parse,2019-04-03
17379386,14419223,1,gdl_jrs_msg_parse,2019-04-04
3451648,2507287,3,gdl_jrs_msg_parse,2019-04-04
4292627,3329291,2,gdl_jrs_msg_parse,2019-04-04
1809314973,856128781,0,gdl_jrs_msg_parse,2019-04-04
14605263,12198100,1,gdl_jrs_msg_parse,2019-04-06
2371530,1598865,3,gdl_jrs_msg_parse,2019-04-06
3781975,3014050,2,gdl_jrs_msg_parse,2019-04-06
1260842678,691951060,0,gdl_jrs_msg_parse,2019-04-06
13660418,11458129,1,gdl_jrs_msg_parse,2019-04-07
2376578,1632458,3,gdl_jrs_msg_parse,2019-04-07
3583083,2853269,2,gdl_jrs_msg_parse,2019-04-07
1078999403,594541203,0,gdl_jrs_msg_parse,2019-04-07
17196687,13999235,1,gdl_jrs_msg_parse,2019-04-08
3343532,2156075,3,gdl_jrs_msg_parse,2019-04-08
4295602,3299276,2,gdl_jrs_msg_parse,2019-04-08
1564802674,754145212,0,gdl_jrs_msg_parse,2019-04-08
16970692,13983913,1,gdl_jrs_msg_parse,2019-04-09
3257104,2208267,3,gdl_jrs_msg_parse,2019-04-09
3980658,3089013,2,gdl_jrs_msg_parse,2019-04-09
1558899742,759295285,0,gdl_jrs_msg_parse,2019-04-09
23312300,17931410,1,gdl_jrs_msg_parse,2019-04-10
5267314,3555358,3,gdl_jrs_msg_parse,2019-04-10
5536897,4074441,2,gdl_jrs_msg_parse,2019-04-10
1932426025,849056166,0,gdl_jrs_msg_parse,2019-04-10
22246321,17255898,1,gdl_jrs_msg_parse,2019-04-11
4300366,2657151,3,gdl_jrs_msg_parse,2019-04-11
5507204,4052237,2,gdl_jrs_msg_parse,2019-04-11
1915499487,859622235,0,gdl_jrs_msg_parse,2019-04-11
23912405,18421031,1,gdl_jrs_msg_parse,2019-04-12
5103599,3194915,3,gdl_jrs_msg_parse,2019-04-12
5765340,4240440,2,gdl_jrs_msg_parse,2019-04-12
1929950246,837180989,0,gdl_jrs_msg_parse,2019-04-12
22817974,17607898,1,gdl_jrs_msg_parse,2019-04-13
5159409,3205729,3,gdl_jrs_msg_parse,2019-04-13
5847244,4361174,2,gdl_jrs_msg_parse,2019-04-13
1593056979,746110065,0,gdl_jrs_msg_parse,2019-04-13
22091772,17141882,1,gdl_jrs_msg_parse,2019-04-14
4962053,3114305,3,gdl_jrs_msg_parse,2019-04-14
5768625,4298176,2,gdl_jrs_msg_parse,2019-04-14
1373167552,662396630,0,gdl_jrs_msg_parse,2019-04-14
24105533,18576018,1,gdl_jrs_msg_parse,2019-04-15
5105970,3201106,3,gdl_jrs_msg_parse,2019-04-15
6153927,4447400,2,gdl_jrs_msg_parse,2019-04-15
2061985863,917069722,0,gdl_jrs_msg_parse,2019-04-15
24823276,18927958,1,gdl_jrs_msg_parse,2019-04-16
4433471,2630953,3,gdl_jrs_msg_parse,2019-04-16
6244392,4546155,2,gdl_jrs_msg_parse,2019-04-16
1872917994,822487357,0,gdl_jrs_msg_parse,2019-04-16
3073822,2516750,1,gdl_jrs_msg_parse,2019-04-17
745161,530751,3,gdl_jrs_msg_parse,2019-04-17
556063,408038,2,gdl_jrs_msg_parse,2019-04-17
184332076,124160409,0,gdl_jrs_msg_parse,2019-04-17
23097810,17638959,1,gdl_jrs_msg_parse,2019-04-19
4477603,2621795,3,gdl_jrs_msg_parse,2019-04-19
5991860,4436497,2,gdl_jrs_msg_parse,2019-04-19
2048115499,853590981,0,gdl_jrs_msg_parse,2019-04-19
23831781,18397548,1,gdl_jrs_msg_parse,2019-04-20
4480802,2726415,3,gdl_jrs_msg_parse,2019-04-20
6307744,4696702,2,gdl_jrs_msg_parse,2019-04-20
1636616789,746200884,0,gdl_jrs_msg_parse,2019-04-20
22800887,17633014,1,gdl_jrs_msg_parse,2019-04-21
4085428,2432528,3,gdl_jrs_msg_parse,2019-04-21
6276112,4690361,2,gdl_jrs_msg_parse,2019-04-21
1514247665,698888537,0,gdl_jrs_msg_parse,2019-04-21
22146916,17097154,1,gdl_jrs_msg_parse,2019-04-22
4471823,2659669,3,gdl_jrs_msg_parse,2019-04-22
5960375,4392091,2,gdl_jrs_msg_parse,2019-04-22
1823559150,819389443,0,gdl_jrs_msg_parse,2019-04-22
21410334,16497703,1,gdl_jrs_msg_parse,2019-04-23
4537219,2724007,3,gdl_jrs_msg_parse,2019-04-23
5849379,4363882,2,gdl_jrs_msg_parse,2019-04-23
1785696775,787934117,0,gdl_jrs_msg_parse,2019-04-23
25970478,20700036,1,gdl_jrs_msg_parse,2019-04-24
4370033,2594933,3,gdl_jrs_msg_parse,2019-04-24
5991862,4426640,2,gdl_jrs_msg_parse,2019-04-24
1855582728,817609523,0,gdl_jrs_msg_parse,2019-04-24
21896716,16900214,1,gdl_jrs_msg_parse,2019-04-25
4374234,2631263,3,gdl_jrs_msg_parse,2019-04-25
6275233,4668243,2,gdl_jrs_msg_parse,2019-04-25
1945469489,830325548,0,gdl_jrs_msg_parse,2019-04-25
22199505,17131822,1,gdl_jrs_msg_parse,2019-04-26
4187501,2494860,3,gdl_jrs_msg_parse,2019-04-26
6547132,4886767,2,gdl_jrs_msg_parse,2019-04-26
1954526405,822601888,0,gdl_jrs_msg_parse,2019-04-26
22186508,17286967,1,gdl_jrs_msg_parse,2019-04-27
4101546,2433313,3,gdl_jrs_msg_parse,2019-04-27
6219973,4651317,2,gdl_jrs_msg_parse,2019-04-27
1506834933,696841552,0,gdl_jrs_msg_parse,2019-04-27
21678042,16723624,1,gdl_jrs_msg_parse,2019-04-28
4311151,2509804,3,gdl_jrs_msg_parse,2019-04-28
6267193,4571365,2,gdl_jrs_msg_parse,2019-04-28
1692565003,746800481,0,gdl_jrs_msg_parse,2019-04-28
21857230,16796329,1,gdl_jrs_msg_parse,2019-04-29
4206580,2459518,3,gdl_jrs_msg_parse,2019-04-29
6273853,4663982,2,gdl_jrs_msg_parse,2019-04-29
1860762307,832062468,0,gdl_jrs_msg_parse,2019-04-29
23692178,18450984,1,gdl_jrs_msg_parse,2019-04-30
4119928,2385994,3,gdl_jrs_msg_parse,2019-04-30
7859500,5765200,2,gdl_jrs_msg_parse,2019-04-30
2035591469,879164620,0,gdl_jrs_msg_parse,2019-04-30
27829217,21745961,1,gdl_jrs_msg_parse,2019-05-01
4030156,2395997,3,gdl_jrs_msg_parse,2019-05-01
8307968,6090700,2,gdl_jrs_msg_parse,2019-05-01
2023434841,832370827,0,gdl_jrs_msg_parse,2019-05-01
25833738,20373890,1,gdl_jrs_msg_parse,2019-05-02
3894247,2275156,3,gdl_jrs_msg_parse,2019-05-02
6995958,5242967,2,gdl_jrs_msg_parse,2019-05-02
1796602782,780024802,0,gdl_jrs_msg_parse,2019-05-02
24208877,19108101,1,gdl_jrs_msg_parse,2019-05-03
3968422,2310876,3,gdl_jrs_msg_parse,2019-05-03
6509572,4894983,2,gdl_jrs_msg_parse,2019-05-03
1608302067,718575356,0,gdl_jrs_msg_parse,2019-05-03
23244000,18342149,1,gdl_jrs_msg_parse,2019-05-04
4160687,2440361,3,gdl_jrs_msg_parse,2019-05-04
6245408,4666048,2,gdl_jrs_msg_parse,2019-05-04
1468580303,676750706,0,gdl_jrs_msg_parse,2019-05-04
22661983,17771010,1,gdl_jrs_msg_parse,2019-05-05
4448659,2619663,3,gdl_jrs_msg_parse,2019-05-05
6067286,4465796,2,gdl_jrs_msg_parse,2019-05-05
1678792952,746391453,0,gdl_jrs_msg_parse,2019-05-05
22371439,17628237,1,gdl_jrs_msg_parse,2019-05-06
4522240,2655243,3,gdl_jrs_msg_parse,2019-05-06
6215599,4588314,2,gdl_jrs_msg_parse,2019-05-06
1830845604,816467710,0,gdl_jrs_msg_parse,2019-05-06
21866513,17175795,1,gdl_jrs_msg_parse,2019-05-07
4672509,2757105,3,gdl_jrs_msg_parse,2019-05-07
5662666,4186765,2,gdl_jrs_msg_parse,2019-05-07
1783864240,796984323,0,gdl_jrs_msg_parse,2019-05-07
21312130,16492019,1,gdl_jrs_msg_parse,2019-05-08
4364275,2535218,3,gdl_jrs_msg_parse,2019-05-08
5880070,4291763,2,gdl_jrs_msg_parse,2019-05-08
1815145482,787901659,0,gdl_jrs_msg_parse,2019-05-08
21542010,16597893,1,gdl_jrs_msg_parse,2019-05-09
4383197,2588677,3,gdl_jrs_msg_parse,2019-05-09
5744813,4246916,2,gdl_jrs_msg_parse,2019-05-09
1806223280,777458582,0,gdl_jrs_msg_parse,2019-05-09
22513512,17363950,1,gdl_jrs_msg_parse,2019-05-10
4582920,2629871,3,gdl_jrs_msg_parse,2019-05-10
6237015,4525033,2,gdl_jrs_msg_parse,2019-05-10
1945131685,811757169,0,gdl_jrs_msg_parse,2019-05-10
18908511,14913657,1,gdl_jrs_msg_parse,2019-05-11
3555028,2143045,3,gdl_jrs_msg_parse,2019-05-11
5177757,3915142,2,gdl_jrs_msg_parse,2019-05-11
1413758406,668000068,0,gdl_jrs_msg_parse,2019-05-11
20509560,16273594,1,gdl_jrs_msg_parse,2019-05-12
3771452,2250320,3,gdl_jrs_msg_parse,2019-05-12
5632497,4249118,2,gdl_jrs_msg_parse,2019-05-12
1396462296,675651310,0,gdl_jrs_msg_parse,2019-05-12
20329052,15879081,1,gdl_jrs_msg_parse,2019-05-13
4223356,2493554,3,gdl_jrs_msg_parse,2019-05-13
5651708,4182634,2,gdl_jrs_msg_parse,2019-05-13
1586392362,735243014,0,gdl_jrs_msg_parse,2019-05-13
20204882,15720090,1,gdl_jrs_msg_parse,2019-05-14
4145663,2446460,3,gdl_jrs_msg_parse,2019-05-14
5597770,4154970,2,gdl_jrs_msg_parse,2019-05-14
1592805912,720128746,0,gdl_jrs_msg_parse,2019-05-14
20809414,16223824,1,gdl_jrs_msg_parse,2019-05-15
4490395,2672213,3,gdl_jrs_msg_parse,2019-05-15
6021205,4404121,2,gdl_jrs_msg_parse,2019-05-15
1791639862,812833844,0,gdl_jrs_msg_parse,2019-05-15
21271288,16590968,1,gdl_jrs_msg_parse,2019-05-16
4467473,2618384,3,gdl_jrs_msg_parse,2019-05-16
5984875,4400158,2,gdl_jrs_msg_parse,2019-05-16
1758536685,789700046,0,gdl_jrs_msg_parse,2019-05-16
21293034,16599011,1,gdl_jrs_msg_parse,2019-05-17
4310181,2542195,3,gdl_jrs_msg_parse,2019-05-17
6120780,4553756,2,gdl_jrs_msg_parse,2019-05-17
1774446749,778380832,0,gdl_jrs_msg_parse,2019-05-17
15868213,12160408,1,gdl_jrs_msg_parse,2019-05-18
3189508,1840528,3,gdl_jrs_msg_parse,2019-05-18
4194079,3027367,2,gdl_jrs_msg_parse,2019-05-18
1285598973,623594864,0,gdl_jrs_msg_parse,2019-05-18
22010293,17274219,1,gdl_jrs_msg_parse,2019-05-19
4114861,2430312,3,gdl_jrs_msg_parse,2019-05-19
5949869,4487390,2,gdl_jrs_msg_parse,2019-05-19
1460460103,696038470,0,gdl_jrs_msg_parse,2019-05-19
22782880,17756586,1,gdl_jrs_msg_parse,2019-05-20
4723747,2753476,3,gdl_jrs_msg_parse,2019-05-20
6622941,4814608,2,gdl_jrs_msg_parse,2019-05-20
1898229579,844914840,0,gdl_jrs_msg_parse,2019-05-20
21573819,16062168,1,gdl_jrs_msg_parse,2019-05-21
4570938,2610523,3,gdl_jrs_msg_parse,2019-05-21
6113987,4412021,2,gdl_jrs_msg_parse,2019-05-21
1755506696,766353636,0,gdl_jrs_msg_parse,2019-05-21
21029499,16677727,1,gdl_jrs_msg_parse,2019-05-22
4467399,2583351,3,gdl_jrs_msg_parse,2019-05-22
6754728,4385911,2,gdl_jrs_msg_parse,2019-05-22
1699508504,747326865,0,gdl_jrs_msg_parse,2019-05-22
21347037,16544470,1,gdl_jrs_msg_parse,2019-05-23
4454365,2597477,3,gdl_jrs_msg_parse,2019-05-23
6782157,4523275,2,gdl_jrs_msg_parse,2019-05-23
1641600228,736071345,0,gdl_jrs_msg_parse,2019-05-23
26595308,20992526,1,gdl_jrs_msg_parse,2019-05-24
5041066,2737044,3,gdl_jrs_msg_parse,2019-05-24
6540894,4790364,2,gdl_jrs_msg_parse,2019-05-24
1819612577,771171546,0,gdl_jrs_msg_parse,2019-05-24
21189957,16722294,1,gdl_jrs_msg_parse,2019-05-25
4332155,2636981,3,gdl_jrs_msg_parse,2019-05-25
5939151,4523480,2,gdl_jrs_msg_parse,2019-05-25
1540814687,721916034,0,gdl_jrs_msg_parse,2019-05-25
20920666,16544174,1,gdl_jrs_msg_parse,2019-05-26
4334677,2642643,3,gdl_jrs_msg_parse,2019-05-26
5819754,4425842,2,gdl_jrs_msg_parse,2019-05-26
1359874135,648967000,0,gdl_jrs_msg_parse,2019-05-26
21112948,16605018,1,gdl_jrs_msg_parse,2019-05-27
4684955,2861181,3,gdl_jrs_msg_parse,2019-05-27
5553628,4178914,2,gdl_jrs_msg_parse,2019-05-27
1641204692,761052646,0,gdl_jrs_msg_parse,2019-05-27
19963492,15728756,1,gdl_jrs_msg_parse,2019-05-28
5316505,3265489,3,gdl_jrs_msg_parse,2019-05-28
5443858,4100184,2,gdl_jrs_msg_parse,2019-05-28
1677385084,773852643,0,gdl_jrs_msg_parse,2019-05-28
43972805,39097512,1,gdl_jrs_msg_parse,2019-05-30
4747430,2970406,3,gdl_jrs_msg_parse,2019-05-30
5536340,4158648,2,gdl_jrs_msg_parse,2019-05-30
1574708498,702365107,0,gdl_jrs_msg_parse,2019-05-30
24566793,19527651,1,gdl_jrs_msg_parse,2019-06-01
8408722,5143857,3,gdl_jrs_msg_parse,2019-06-01
6814451,5158978,2,gdl_jrs_msg_parse,2019-06-01
1690060996,726238040,0,gdl_jrs_msg_parse,2019-06-01
24654557,19469588,1,gdl_jrs_msg_parse,2019-06-02
5485863,3340063,3,gdl_jrs_msg_parse,2019-06-02
6365133,4763781,2,gdl_jrs_msg_parse,2019-06-02
1520219803,686404880,0,gdl_jrs_msg_parse,2019-06-02
24376494,18961012,1,gdl_jrs_msg_parse,2019-06-03
5082510,3090121,3,gdl_jrs_msg_parse,2019-06-03
6529935,4819172,2,gdl_jrs_msg_parse,2019-06-03
1909196057,813469661,0,gdl_jrs_msg_parse,2019-06-03
23113524,17890278,1,gdl_jrs_msg_parse,2019-06-04
5256979,3180661,3,gdl_jrs_msg_parse,2019-06-04
6254293,4617745,2,gdl_jrs_msg_parse,2019-06-04
1773021831,767577356,0,gdl_jrs_msg_parse,2019-06-04
23981962,18659321,1,gdl_jrs_msg_parse,2019-06-05
5370671,3282699,3,gdl_jrs_msg_parse,2019-06-05
6450612,4782504,2,gdl_jrs_msg_parse,2019-06-05
1963236315,835987237,0,gdl_jrs_msg_parse,2019-06-05
23758301,18355156,1,gdl_jrs_msg_parse,2019-06-06
5312727,3219816,3,gdl_jrs_msg_parse,2019-06-06
7087969,5213611,2,gdl_jrs_msg_parse,2019-06-06
2094312947,871202853,0,gdl_jrs_msg_parse,2019-06-06
23626439,18406045,1,gdl_jrs_msg_parse,2019-06-07
4654364,2977954,3,gdl_jrs_msg_parse,2019-06-07
6903559,5169339,2,gdl_jrs_msg_parse,2019-06-07
1665749678,758944487,0,gdl_jrs_msg_parse,2019-06-07
23330405,17783648,1,gdl_jrs_msg_parse,2019-06-09
4772986,2894064,3,gdl_jrs_msg_parse,2019-06-09
6061838,4456584,2,gdl_jrs_msg_parse,2019-06-09
1486762724,699768114,0,gdl_jrs_msg_parse,2019-06-09
23604421,18294931,1,gdl_jrs_msg_parse,2019-06-10
5527793,3349349,3,gdl_jrs_msg_parse,2019-06-10
6266768,4607391,2,gdl_jrs_msg_parse,2019-06-10
1907105745,840379954,0,gdl_jrs_msg_parse,2019-06-10
22634240,17096720,1,gdl_jrs_msg_parse,2019-06-11
5561753,3315433,3,gdl_jrs_msg_parse,2019-06-11
6159995,4460923,2,gdl_jrs_msg_parse,2019-06-11
1854433877,818270171,0,gdl_jrs_msg_parse,2019-06-11
22037319,16953775,1,gdl_jrs_msg_parse,2019-06-12
5398485,3245730,3,gdl_jrs_msg_parse,2019-06-12
5802045,4313884,2,gdl_jrs_msg_parse,2019-06-12
1818694130,806627076,0,gdl_jrs_msg_parse,2019-06-12
20795420,16060239,1,gdl_jrs_msg_parse,2019-06-13
5554578,3332650,3,gdl_jrs_msg_parse,2019-06-13
5494311,4115892,2,gdl_jrs_msg_parse,2019-06-13
1694758158,743397492,0,gdl_jrs_msg_parse,2019-06-13
21924234,16890877,1,gdl_jrs_msg_parse,2019-06-15
5786215,3899305,3,gdl_jrs_msg_parse,2019-06-15
6297992,4707902,2,gdl_jrs_msg_parse,2019-06-15
1877655642,778015154,0,gdl_jrs_msg_parse,2019-06-15
22150491,17163119,1,gdl_jrs_msg_parse,2019-06-16
7108705,4503148,3,gdl_jrs_msg_parse,2019-06-16
6159946,4598906,2,gdl_jrs_msg_parse,2019-06-16
1558973283,708532493,0,gdl_jrs_msg_parse,2019-06-16
21025165,16181110,1,gdl_jrs_msg_parse,2019-06-17
6837018,4155550,3,gdl_jrs_msg_parse,2019-06-17
5837991,4291779,2,gdl_jrs_msg_parse,2019-06-17
1880392198,798211216,0,gdl_jrs_msg_parse,2019-06-17
21354596,16315927,1,gdl_jrs_msg_parse,2019-06-18
14407838,8212385,3,gdl_jrs_msg_parse,2019-06-18
5939332,4366408,2,gdl_jrs_msg_parse,2019-06-18
1967972174,783247848,0,gdl_jrs_msg_parse,2019-06-18
21260107,16266323,1,gdl_jrs_msg_parse,2019-06-19
6347461,3858199,3,gdl_jrs_msg_parse,2019-06-19
5676864,4221295,2,gdl_jrs_msg_parse,2019-06-19
1679339770,728628356,0,gdl_jrs_msg_parse,2019-06-19
21780759,16705208,1,gdl_jrs_msg_parse,2019-06-20
5852856,3512611,3,gdl_jrs_msg_parse,2019-06-20
6137974,4509850,2,gdl_jrs_msg_parse,2019-06-20
1839550351,793121530,0,gdl_jrs_msg_parse,2019-06-20
21789508,16613810,1,gdl_jrs_msg_parse,2019-06-21
4658374,2768246,3,gdl_jrs_msg_parse,2019-06-21
6254277,4609141,2,gdl_jrs_msg_parse,2019-06-21
1884766881,798317162,0,gdl_jrs_msg_parse,2019-06-21
35579312,30880837,1,gdl_jrs_msg_parse,2020-02-02
2430330,1718922,3,gdl_jrs_msg_parse,2020-02-02
4597788,3212264,2,gdl_jrs_msg_parse,2020-02-02
2564353311,925341293,0,gdl_jrs_msg_parse,2020-02-02
50081448,43746805,1,gdl_jrs_msg_parse,2020-02-03
2477476,1763997,3,gdl_jrs_msg_parse,2020-02-03
4396500,3085658,2,gdl_jrs_msg_parse,2020-02-03
2462776594,918342753,0,gdl_jrs_msg_parse,2020-02-03
25019966,21686671,1,gdl_jrs_msg_parse,2020-02-04
2310716,1632132,3,gdl_jrs_msg_parse,2020-02-04
4136700,2943393,2,gdl_jrs_msg_parse,2020-02-04
2417535726,904790519,0,gdl_jrs_msg_parse,2020-02-04
49839217,44471310,1,gdl_jrs_msg_parse,2020-02-05
1872832,1318199,3,gdl_jrs_msg_parse,2020-02-05
3710030,2638031,2,gdl_jrs_msg_parse,2020-02-05
2294697680,828265636,0,gdl_jrs_msg_parse,2020-02-05
38365662,33760128,1,gdl_jrs_msg_parse,2020-02-06
1965000,1395716,3,gdl_jrs_msg_parse,2020-02-06
3861317,2758949,2,gdl_jrs_msg_parse,2020-02-06
2393528390,884498587,0,gdl_jrs_msg_parse,2020-02-06
70616208,63522012,1,gdl_jrs_msg_parse,2020-02-07
2171286,1519106,3,gdl_jrs_msg_parse,2020-02-07
4374706,3113985,2,gdl_jrs_msg_parse,2020-02-07
2746173747,1013502081,0,gdl_jrs_msg_parse,2020-02-07
75364317,68029885,1,gdl_jrs_msg_parse,2020-02-08
2246269,1553344,3,gdl_jrs_msg_parse,2020-02-08
4401767,3130972,2,gdl_jrs_msg_parse,2020-02-08
2848242042,993614812,0,gdl_jrs_msg_parse,2020-02-08
64474972,58704874,1,gdl_jrs_msg_parse,2020-02-09
2281552,1601963,3,gdl_jrs_msg_parse,2020-02-09
4049039,2890810,2,gdl_jrs_msg_parse,2020-02-09
2724556184,977157751,0,gdl_jrs_msg_parse,2020-02-09
65482589,58256871,1,gdl_jrs_msg_parse,2020-02-10
2432328,1708409,3,gdl_jrs_msg_parse,2020-02-10
4085903,2898124,2,gdl_jrs_msg_parse,2020-02-10
2801964734,1054281227,0,gdl_jrs_msg_parse,2020-02-10
